Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Arena,Attend.,Attend./G,Made_Playoffs
BOS,26.1,51.0,31.0,59,23,7.28,-0.26,7.02,114.4,106.9,7.5,96.6,0.239,0.425,0.578,0.542,12.4,24.0,0.195,0.502,12.5,77.3,0.183,TD Garden,785396,19156,True
PHO,27.5,64.0,18.0,59,23,7.5,-0.56,6.94,114.8,107.3,7.5,99.8,0.221,0.354,0.581,0.5489999999999999,11.6,22.3,0.17600000000000002,0.51,13.0,77.1,0.195,Phoenix Suns Arena,663171,16175,True
UTA,29.3,49.0,33.0,56,26,6.04,-0.37,5.67,116.7,110.5,6.2,97.1,0.271,0.46799999999999997,0.589,0.555,12.7,25.4,0.20800000000000002,0.521,10.9,78.3,0.16399999999999998,Vivint Smart Home Arena,750546,18306,True
MEM,24.0,56.0,26.0,55,27,5.68,-0.32,5.37,114.6,109.0,5.6,100.3,0.245,0.34600000000000003,0.5529999999999999,0.522,11.2,30.0,0.18,0.523,13.3,77.8,0.195,FedEx Forum,646785,15775,True
GSW,27.6,53.0,29.0,55,27,5.54,-0.02,5.52,112.5,106.9,5.6,98.4,0.235,0.456,0.5820000000000001,0.552,13.5,22.8,0.18100000000000002,0.509,13.0,78.7,0.201,Chase Center,740624,18064,True
MIA,28.2,53.0,29.0,53,29,4.45,-0.22,4.23,113.7,109.1,4.6,95.9,0.252,0.42200000000000004,0.584,0.547,13.4,23.5,0.204,0.524,13.8,78.0,0.209,FTX Arena,804761,19628,True
DAL,26.7,52.0,30.0,50,32,3.3,-0.18,3.12,112.8,109.4,3.4,95.4,0.249,0.439,0.5720000000000001,0.5379999999999999,11.7,21.3,0.192,0.521,12.2,78.0,0.185,American Airlines Center,808037,19708,True
MIL,28.5,51.0,31.0,49,33,3.35,-0.14,3.22,115.1,111.8,3.3,99.9,0.257,0.43,0.58,0.546,11.9,23.0,0.19899999999999998,0.536,11.6,78.6,0.165,Fiserv Forum,715581,17453,True
PHI,26.8,51.0,31.0,48,34,2.61,-0.04,2.57,113.5,110.8,2.7,96.2,0.282,0.376,0.578,0.534,11.6,20.1,0.23199999999999998,0.524,12.1,76.8,0.192,Wells Fargo Center,846867,20655,True
MIN,24.2,46.0,36.0,48,34,2.63,-0.1,2.53,114.3,111.7,2.6,100.9,0.254,0.45399999999999996,0.573,0.539,12.4,24.4,0.198,0.535,14.2,74.9,0.22699999999999998,Target Center,657148,16028,True
DEN,27.7,48.0,34.0,47,35,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.41600000000000004,0.59,0.556,13.2,21.9,0.19399999999999998,0.537,11.7,78.3,0.188,Ball Arena,695262,16958,True
TOR,24.8,48.0,34.0,47,35,2.29,0.08,2.38,112.9,110.5,2.4,96.0,0.23399999999999999,0.375,0.5429999999999999,0.51,11.0,28.4,0.177,0.535,14.4,75.6,0.19899999999999998,Scotiabank Arena,547343,13350,True
CLE,24.7,44.0,38.0,47,35,2.12,-0.08,2.04,111.9,109.7,2.2,96.1,0.261,0.387,0.5710000000000001,0.5379999999999999,13.2,24.0,0.198,0.52,12.3,76.5,0.172,Rocket Mortgage Fieldhouse,758228,18493,False
ATL,26.1,43.0,39.0,45,37,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,0.5429999999999999,10.8,23.0,0.205,0.5429999999999999,11.5,76.9,0.177,State Farm Arena,672742,16408,True
BRK,29.1,44.0,38.0,43,39,0.78,0.04,0.82,113.6,112.8,0.8,99.0,0.24600000000000002,0.359,0.5760000000000001,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,Barclays Center,711539,17355,True
CHO,25.5,43.0,39.0,42,40,0.44,0.09,0.53,114.1,113.7,0.4,100.0,0.23399999999999999,0.418,0.5720000000000001,0.544,11.6,23.3,0.17300000000000001,0.544,13.1,74.8,0.187,Spectrum Center,700755,17092,False
SAS,24.5,34.0,48.0,41,41,0.12,-0.1,0.02,112.4,112.3,0.1,100.0,0.22,0.345,0.556,0.527,11.1,23.7,0.166,0.532,12.1,75.1,0.17600000000000002,AT&T Center,615588,15014,False
LAC,27.5,42.0,40.0,41,41,0.02,0.06,0.09,110.1,110.1,0.0,98.0,0.22399999999999998,0.391,0.564,0.531,12.5,20.6,0.17800000000000002,0.514,12.0,74.4,0.16699999999999998,Crypto.com Arena,694005,16927,False
NYK,26.0,37.0,45.0,41,41,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,0.28,0.428,0.55,0.513,12.0,25.1,0.20800000000000002,0.521,11.7,78.8,0.198,Madison Square Garden (IV),763484,18622,False
CHI,26.3,46.0,36.0,40,42,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.19899999999999998,United Center,856148,20882,True
NOP,25.6,36.0,46.0,38,44,-0.99,0.15,-0.84,112.0,113.0,-1.0,97.2,0.264,0.365,0.557,0.517,12.5,26.9,0.20800000000000002,0.547,13.0,78.2,0.196,Smoothie King Center,635941,15511,True
LAL,30.2,33.0,49.0,33,49,-3.05,-0.03,-3.08,110.3,113.3,-3.0,100.1,0.259,0.38799999999999996,0.5670000000000001,0.537,12.8,21.1,0.19,0.54,12.2,75.8,0.192,Crypto.com Arena,764631,18650,False
WAS,25.9,35.0,47.0,32,50,-3.38,0.15,-3.23,111.1,114.5,-3.4,97.0,0.252,0.35600000000000004,0.568,0.532,12.1,20.9,0.19699999999999998,0.529,10.7,76.9,0.20199999999999999,Capital One Arena,637215,15542,False
IND,26.0,25.0,57.0,32,50,-3.48,0.22,-3.26,112.6,116.1,-3.5,98.0,0.239,0.395,0.564,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,Gainbridge Fieldhouse,588743,14360,False
SAC,25.8,30.0,52.0,28,54,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,0.525,12.5,21.3,0.203,0.551,11.9,76.0,0.17600000000000002,Golden 1 Center,577583,14087,False
DET,23.6,23.0,59.0,22,60,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,0.249,0.391,0.5329999999999999,0.494,12.6,23.4,0.19399999999999998,0.541,13.1,75.6,0.226,Little Caesars Arena,663556,16184,False
ORL,23.3,22.0,60.0,21,61,-8.0,0.33,-7.67,104.5,112.5,-8.0,99.2,0.223,0.41700000000000004,0.5379999999999999,0.503,13.0,19.8,0.175,0.532,11.7,77.2,0.196,Amway Center,622881,15192,False
OKC,22.4,24.0,58.0,21,61,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.5,0.223,0.419,0.53,0.49700000000000005,12.5,21.8,0.16899999999999998,0.5329999999999999,11.8,76.1,0.16899999999999998,Paycom Center,595112,14515,False
HOU,24.1,20.0,62.0,21,61,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.44799999999999995,0.565,0.534,14.5,21.7,0.20199999999999999,0.5539999999999999,12.3,74.4,0.20600000000000002,Toyota Center,638977,15585,False
POR,25.6,27.0,55.0,20,62,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.42200000000000004,0.55,0.515,13.0,22.9,0.188,0.5589999999999999,12.7,76.9,0.222,Moda Center,705608,17210,False
