Player,Fan_Votes,Fan_Rank,Player_Votes,Player_Rank,Media_Votes,Media_Rank,Score
Luka Dončić,5566875,2,149,1,98,1,1.5
Stephen Curry,5826248,1,118,2,53,2,1.5
Ja Morant,2214793,3,72,3,35,3,3.0
Shai Gilgeous-Alexander,2107557,4,62,4,12,4,4.0
Damian Lillard,774826,7,35,5,0,5,34.5
De'Aaron Fox,477787,8,35,5,0,5,35.0
Devin Booker,432980,10,32,7,0,5,36.5
Russell Westbrook,1125401,6,7,18,0,5,37.2
Anthony Edwards,274739,13,22,8,0,5,38.2
Klay Thompson,1418680,5,4,25,0,5,38.5
Desmond Bane,151076,14,16,9,0,5,39.0
Jordan Clarkson,358984,11,9,15,0,5,39.0
CJ McCollum,131147,17,15,11,0,5,41.0
Jordan Poole,305858,12,6,22,0,5,41.2
Chris Paul,149897,15,7,18,0,5,41.8
Anfernee Simons,104103,20,15,11,0,5,42.5
Kevin Huerter,125666,18,7,18,0,5,43.2
Spencer Dinwiddie,68501,23,16,9,0,5,43.5
Austin Reaves,464176,9,1,38,0,5,43.8
Josh Giddey,92677,22,13,13,0,5,44.0
Jamal Murray,101965,21,9,15,0,5,44.0
Jalen Green,132664,16,4,25,0,5,44.0
D'Angelo Russell,36221,25,11,14,0,5,45.8
Jose Alvarado,33762,26,9,15,0,5,46.5
Mike Conley,27911,27,2,31,0,5,51.0
Kentavious Caldwell-Pope,15666,33,6,22,0,5,51.8
Kevin Porter Jr.,14259,34,6,22,0,5,52.2
Donte DiVincenzo,12279,37,7,18,0,5,52.8
Norman Powell,20010,28,1,38,0,5,53.2
John Wall,19643,30,1,38,0,5,54.2
Collin Sexton,19134,31,1,38,0,5,54.8
Malik Beasley,12819,36,3,29,0,5,55.0
Devin Vassell,16308,32,1,38,0,5,55.2
Patrick Beverley,11887,38,2,31,0,5,56.5
Malik Monk,13621,35,1,38,0,5,56.8
Luguentz Dort,11456,40,1,38,0,5,59.2
Bruce Brown,9525,41,1,38,0,5,59.8
Terance Mann,5657,46,2,31,0,5,60.5
Josh Hart,7414,43,1,38,0,5,60.8
Tre Jones,7240,44,1,38,0,5,61.2
Tim Hardaway Jr.,6384,45,1,38,0,5,61.8
Eric Gordon,4594,50,1,38,0,5,64.2
Cameron Payne,2692,57,3,29,0,5,65.5
Ochai Agbaji,2461,60,4,25,0,5,66.0
Kemba Walker,3387,54,1,38,0,5,66.2
Matthew Dellavedova,2625,58,2,31,0,5,66.5
Shaedon Sharpe,2716,56,1,38,0,5,67.2
Nickeil Alexander-Walker,1803,66,4,25,0,5,69.0
Christian Braun,2053,64,2,31,0,5,69.5
Davion Mitchell,2135,63,1,38,0,5,70.8
Kendrick Nunn,2036,65,1,38,0,5,71.8
Devonte' Graham,1291,74,1,38,0,5,76.2
Isaiah Joe,1255,76,1,38,0,5,77.2
Tre Mann,1218,79,1,38,0,5,78.8
Reggie Bullock,1154,80,1,38,0,5,79.2
Aaron Wiggins,958,84,2,31,0,5,79.5
Jordan McLaughlin,992,83,1,38,0,5,80.8
Collin Gillespie,864,86,1,38,0,5,82.2
Kenrich Williams,696,90,2,31,0,5,82.5
Duane Washington Jr.,815,87,1,38,0,5,82.8
Keon Ellis,674,91,1,38,0,5,84.8
Lonnie Walker IV,109974,19,0,68,0,5,84.8
Josh Okogie,617,92,1,38,0,5,85.2
Dennis Schröder,48995,24,0,68,0,5,87.2
Bryn Forbes,480,97,1,38,0,5,87.8
Ish Smith,459,98,1,38,0,5,88.2
Bones Hyland,19784,29,0,68,0,5,89.8
Garrett Temple,431,102,1,38,0,5,90.2
Kennedy Chandler,406,105,1,38,0,5,91.8
Max Christie,11862,39,0,68,0,5,94.8
McKinley Wright IV,207,113,1,38,0,5,95.8
Reggie Jackson,7495,42,0,68,0,5,96.2
Luke Kennard,5540,47,0,68,0,5,98.8
Josh Green,5085,48,0,68,0,5,99.2
Gary Payton II,4910,49,0,68,0,5,99.8
Danny Green,4092,51,0,68,0,5,100.8
Tyus Jones,4004,52,0,68,0,5,101.2
Jalen Williams,3414,53,0,68,0,5,101.8
Dyson Daniels,2985,55,0,68,0,5,102.8
Damion Lee,2559,59,0,68,0,5,104.8
Johnny Juzang,2455,61,0,68,0,5,105.8
Scotty Pippen Jr.,2160,62,0,68,0,5,106.2
Josh Richardson,1713,67,0,68,0,5,108.8
Frank Ntilikina,1659,68,0,68,0,5,109.2
Talen Horton-Tucker,1566,69,0,68,0,5,109.8
Austin Rivers,1519,70,0,68,0,5,110.2
Romeo Langford,1510,71,0,68,0,5,110.8
Jaylen Nowell,1386,72,0,68,0,5,111.2
Landry Shamet,1353,73,0,68,0,5,111.8
Moses Moody,1259,75,0,68,0,5,112.8
Dereon Seabron,1252,77,0,68,0,5,113.8
John Konchar,1221,78,0,68,0,5,114.2
Ty Jerome,1103,81,0,68,0,5,115.8
Brandon Boston Jr.,1006,82,0,68,0,5,116.2
Jaden Hardy,874,85,0,68,0,5,117.8
Terence Davis,768,88,0,68,0,5,119.2
Theo Pinson,733,89,0,68,0,5,119.8
Blake Wesley,617,92,0,68,0,5,121.2
Malaki Branham,593,94,0,68,0,5,122.2
A.J. Lawson,590,95,0,68,0,5,122.8
Josh Christopher,551,96,0,68,0,5,123.2
Keon Johnson,447,99,0,68,0,5,124.8
Jason Preston,439,100,0,68,0,5,125.2
Kira Lewis Jr.,436,101,0,68,0,5,125.8
Ryan Rollins,418,103,0,68,0,5,126.8
Garrison Mathews,413,104,0,68,0,5,127.2
TyTy Washington Jr.,372,106,0,68,0,5,128.2
Vince Williams Jr.,369,107,0,68,0,5,128.8
Peyton Watson,358,108,0,68,0,5,129.2
Wendell Moore Jr.,308,109,0,68,0,5,129.8
Daishen Nix,292,110,0,68,0,5,130.2
Trevor Hudgins,226,111,0,68,0,5,130.8
Davon Reed,212,112,0,68,0,5,131.2
