Player,Pos,Age,Tm,G,MP,FG%,AvgDistance,2PAr,0-3Ar,3-10Ar,10-16Ar,16-3PAr,3PAr,2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P_Assisted,3P_Assisted,DunksAr,Dunks,3PCornerAr,3PCorner%,HeavesAttempted,Heaves
Mahmoud Abdul-Rauf,PG,27,SAC,75,2131,.445,18.1,.734,.067,.026,.133,.508,.266,.468,.484,.375,.423,.482,.382,.580,.734,.000,0,.045,.364,0,0
Shareef Abdur-Rahim,PF,20,VAN,80,2802,.453,9.7,.978,.495,.190,.144,.148,.022,.457,.529,.420,.354,.367,.259,.573,.714,.075,85,.111,.333,1,0
Rafael Addison,SF,32,CHH,41,355,.402,15.0,.836,.287,.074,.123,.352,.164,.402,.343,.111,.467,.488,.400,.829,1.000,.008,1,.000,,0,0
Cory Alexander,PG,23,SAS,80,1454,.396,17.8,.486,.224,.047,.055,.159,.514,.420,.418,.565,.185,.462,.373,.330,.574,.006,3,.048,.500,0,0
Jerome Allen,SG,24,TOT,76,943,.353,15.7,.579,.344,.086,.054,.090,.421,.375,.447,.211,.333,.250,.323,.438,.667,.023,4,.194,.333,2,0
Jerome Allen,SG,24,IND,51,692,.388,15.7,.599,.313,.116,.068,.095,.401,.386,.478,.235,.300,.286,.390,.471,.739,.020,2,.220,.462,2,0
Jerome Allen,SG,24,DEN,25,251,.284,15.8,.541,.405,.027,.027,.081,.459,.350,.400,.000,.500,.167,.206,.357,.429,.027,2,.147,.000,0,0
Ray Allen*,SG,21,MIL,82,2532,.430,15.2,.672,.251,.098,.189,.133,.328,.448,.474,.461,.413,.438,.393,.388,.778,.025,21,.171,.490,3,1
Derrick Alston,C,24,ATL,2,11,.000,11.1,1.000,.600,.200,.200,.000,.000,.000,.000,.000,.000,,,,,.000,0,,,0,0
Ashraf Amaya,PF,25,WSB,31,144,.300,10.3,.975,.625,.100,.225,.025,.025,.282,.360,.500,.000,.000,1.000,.455,1.000,.050,2,.000,,0,0
Greg Anderson,C,32,SAS,82,1659,.496,7.0,.996,.824,.149,.023,.000,.004,.498,.500,.513,.333,,.000,.615,,.038,8,.000,,0,0
Kenny Anderson,PG,26,POR,82,3081,.427,13.8,.678,.373,.087,.106,.112,.322,.458,.521,.303,.364,.457,.361,.184,.538,.000,0,.022,.125,0,0
Nick Anderson,SG,29,ORL,63,2163,.397,17.1,.441,.157,.124,.084,.076,.559,.453,.553,.400,.311,.491,.353,.448,.923,.028,19,.121,.490,2,0
Shandon Anderson,SG,23,UTA,65,1066,.462,11.0,.852,.478,.151,.119,.104,.148,.454,.539,.417,.263,.333,.511,.780,.917,.038,11,.043,.000,0,0
Willie Anderson,SG,30,MIA,28,303,.453,12.7,.703,.281,.250,.063,.109,.297,.467,.667,.313,.250,.429,.421,.571,1.000,.031,2,.368,.714,0,0
Greg Anthony,PG,29,VAN,65,1863,.393,16.9,.531,.272,.028,.107,.124,.469,.413,.486,.500,.259,.365,.370,.324,.761,.000,0,.160,.289,0,0
B.J. Armstrong,PG,29,GSW,49,1020,.453,15.2,.725,.202,.089,.153,.281,.275,.519,.712,.483,.420,.446,.278,.504,.920,.000,0,.133,.333,0,0
Darrell Armstrong,PG,28,ORL,67,1010,.383,17.1,.475,.252,.064,.070,.090,.525,.470,.540,.500,.250,.419,.304,.286,.727,.014,5,.144,.462,0,0
Vincent Askew,SG,30,TOT,43,838,.435,11.9,.871,.371,.194,.145,.161,.129,.457,.493,.444,.444,.400,.292,.459,.857,.000,0,.042,1.000,0,0
Vincent Askew,SG,30,NJN,1,7,,,,,,,,,,,,,,,,,,0,,,0,0
Vincent Askew,SG,30,IND,41,822,.432,12.0,.869,.366,.191,.148,.164,.131,.453,.493,.429,.444,.400,.292,.458,.857,.000,0,.042,1.000,0,0
Vincent Askew,SG,30,DEN,1,9,.667,7.3,1.000,.667,.333,.000,.000,.000,.667,.500,1.000,,,,.500,,.000,0,,,0,0
Keith Askins,SF,29,MIA,78,1773,.433,17.7,.461,.182,.085,.034,.160,.539,.469,.586,.259,.273,.490,.401,.696,.942,.013,4,.459,.418,0,0
Stacey Augmon,SG,28,TOT,60,942,.477,8.1,1.000,.586,.223,.141,.050,.000,.477,.550,.367,.355,.455,,.505,,.077,16,,,0,0
Stacey Augmon,SG,28,DET,20,292,.403,9.0,1.000,.610,.182,.195,.013,.000,.403,.447,.429,.267,.000,,.419,,.065,5,,,0,0
Stacey Augmon,SG,28,POR,40,650,.517,7.6,1.000,.573,.245,.112,.070,.000,.517,.610,.343,.438,.500,,.541,,.084,11,,,0,0
Isaac Austin,C,27,MIA,82,1881,.502,8.3,.995,.424,.279,.213,.080,.005,.505,.638,.393,.382,.510,.000,.713,,.121,72,.333,.000,0,0
Vin Baker,PF,25,MIL,78,3159,.505,9.0,.957,.472,.221,.172,.093,.043,.515,.608,.460,.335,.509,.278,.592,.733,.090,109,.037,.500,3,0
Charles Barkley*,PF,33,HOU,53,2009,.484,12.2,.704,.431,.140,.092,.040,.296,.569,.674,.412,.344,.500,.283,.437,.379,.077,51,.176,.417,3,1
Dana Barros,PG,29,BOS,24,708,.435,16.9,.585,.324,.047,.036,.182,.415,.453,.329,.333,.556,.674,.410,.403,.791,.000,0,.162,.588,0,0
Brent Barry,SG,25,LAC,59,1094,.409,16.8,.544,.227,.079,.087,.150,.456,.481,.500,.500,.424,.474,.324,.485,.696,.047,17,.052,.556,2,0
Jon Barry,SG,27,ATL,58,965,.407,18.0,.496,.199,.045,.081,.171,.504,.426,.408,.364,.350,.500,.387,.538,.750,.004,0,.194,.458,0,0
Benoit Benjamin,C,32,TOR,4,44,.417,9.0,1.000,.667,.167,.167,.000,.000,.417,.375,.500,.500,,,1.000,,.083,1,,,0,0
Elmer Bennett,PG,26,TOT,9,75,.316,17.6,.526,.263,.000,.158,.105,.474,.300,.200,,.333,.500,.333,.667,.667,.000,0,.222,.000,0,0
Elmer Bennett,PG,26,HOU,4,16,.333,19.5,.500,.333,.000,.000,.167,.500,.333,.000,,,1.000,.333,1.000,1.000,.000,0,.000,,0,0
Elmer Bennett,PG,26,DEN,5,59,.308,16.7,.538,.231,.000,.231,.077,.462,.286,.333,,.333,.000,.333,.500,.500,.000,0,.333,.000,0,0
Travis Best,PG,24,IND,76,2064,.442,15.1,.750,.279,.060,.132,.279,.250,.467,.532,.405,.402,.445,.368,.355,.754,.000,0,.129,.350,0,0
Mookie Blaylock,PG,29,ATL,78,3056,.432,17.8,.479,.213,.040,.060,.167,.521,.505,.595,.391,.319,.482,.366,.339,.566,.003,2,.156,.436,2,0
Corie Blount,PF,28,LAL,58,1009,.514,8.2,.983,.620,.168,.128,.067,.017,.517,.595,.467,.348,.250,.333,.780,.000,.207,33,.333,1.000,0,0
Muggsy Bogues,PG,32,CHH,65,1880,.460,16.3,.675,.260,.029,.124,.262,.325,.482,.313,.308,.473,.672,.417,.500,.917,.000,0,.028,.750,0,0
Dexter Boney,SG,26,PHO,8,48,.316,14.8,.684,.474,.053,.053,.105,.316,.385,.444,.000,.000,.500,.167,.400,1.000,.158,3,.000,,0,0
Melvin Booker,PG,24,TOT,21,430,.438,15.3,.648,.324,.076,.076,.171,.352,.500,.559,.250,.625,.444,.324,.324,.917,.010,1,.162,.333,0,0
Melvin Booker,PG,24,DEN,5,21,.500,18.0,.500,.250,.000,.250,.000,.500,.500,.000,,1.000,,.500,.000,.000,.000,0,.500,.000,0,0
Melvin Booker,PG,24,GSW,16,409,.436,15.2,.653,.327,.079,.069,.178,.347,.500,.576,.250,.571,.444,.314,.333,1.000,.010,1,.143,.400,0,0
Bruce Bowen,SF,25,MIA,1,1,,,,,,,,,,,,,,,,,,0,,,0,0
Donnie Boyce,SG,23,ATL,22,154,.333,13.6,.746,.429,.095,.063,.159,.254,.404,.481,.167,.500,.300,.125,.526,1.000,.032,2,.063,.000,0,0
Shawn Bradley,C,24,TOT,73,2288,.449,10.0,.991,.250,.299,.308,.134,.009,.453,.540,.417,.391,.512,.000,.599,,.064,53,.125,.000,1,0
Shawn Bradley,C,24,NJN,40,1228,.436,10.5,.989,.232,.270,.344,.143,.011,.441,.547,.374,.408,.477,.000,.633,,.059,24,.000,,1,0
Shawn Bradley,C,24,DAL,33,1060,.461,9.6,.993,.267,.330,.272,.125,.007,.464,.533,.453,.369,.554,.000,.565,,.069,29,.333,.000,0,0
Mark Bradtke,C,28,PHI,36,251,.431,9.0,1.000,.672,.121,.103,.103,.000,.431,.410,.857,.500,.000,,.560,,.052,3,,,0,0
Terrell Brandon,PG,26,CLE,78,2868,.438,15.6,.794,.158,.065,.208,.363,.206,.455,.556,.365,.377,.472,.373,.399,.495,.008,11,.059,.375,0,0
Frank Brickowski,PF,37,BOS,17,255,.438,14.7,.726,.274,.178,.068,.205,.274,.472,.400,.615,.600,.400,.350,.440,1.000,.027,2,.200,.500,0,0
Scott Brooks,PG,31,NYK,38,251,.487,15.9,.692,.205,.128,.128,.231,.308,.519,.500,.600,.600,.444,.417,.500,1.000,.000,0,.083,1.000,0,0
Chucky Brown,SF,28,TOT,70,757,.506,9.9,.961,.357,.195,.221,.188,.039,.520,.691,.500,.382,.379,.167,.675,1.000,.058,9,.333,.000,0,0
Chucky Brown,SF,28,PHO,10,83,.500,9.4,1.000,.462,.038,.231,.269,.000,.500,.750,1.000,.333,.143,,.615,,.115,3,,,0,0
Chucky Brown,SF,28,MIL,60,674,.508,10.0,.953,.336,.227,.219,.172,.047,.525,.674,.483,.393,.455,.167,.688,1.000,.047,6,.333,.000,0,0
Dee Brown,PG,28,BOS,21,522,.367,17.1,.608,.289,.012,.066,.241,.392,.406,.354,.500,.364,.475,.308,.415,.550,.012,2,.169,.636,0,0
Marcus Brown,PG,22,POR,21,184,.400,15.8,.543,.314,.114,.071,.043,.457,.395,.364,.750,.200,.000,.406,.200,.846,.014,1,.031,1.000,0,0
Mike Brown,C,33,PHO,6,83,.417,10.0,1.000,.667,.167,.083,.083,.000,.417,.375,1.000,.000,.000,,.200,,.000,0,,,0,0
P.J. Brown,PF,27,MIA,80,2592,.457,8.8,.997,.357,.299,.253,.088,.003,.459,.577,.378,.373,.500,.000,.733,,.133,83,.500,.000,0,0
Randy Brown,PG,28,CHI,72,1057,.420,12.8,.934,.372,.036,.201,.324,.066,.437,.516,.333,.358,.407,.182,.750,.750,.024,8,.182,.000,0,0
Kobe Bryant*,SF,18,LAL,71,1103,.417,14.5,.678,.365,.090,.104,.118,.322,.437,.487,.395,.273,.460,.375,.408,.765,.043,17,.066,.333,0,0
Mark Bryant,PF,31,PHO,41,1018,.553,7.4,1.000,.342,.502,.135,.022,.000,.553,.574,.529,.568,.667,,.566,,.044,11,,,0,0
Jud Buechler,SF,28,CHI,76,703,.367,16.3,.658,.222,.070,.070,.297,.342,.385,.429,.727,.364,.277,.333,.675,1.000,.051,8,.222,.500,0,0
Matt Bullard,PF,29,HOU,71,1025,.401,18.9,.356,.120,.049,.099,.088,.644,.465,.618,.571,.214,.480,.366,.660,.955,.014,3,.098,.333,0,0
Scott Burrell,SF,26,TOT,57,939,.362,16.0,.572,.325,.055,.041,.155,.428,.368,.375,.333,.273,.405,.353,.667,.976,.022,5,.190,.500,1,0
Scott Burrell,SF,26,CHH,28,482,.344,15.0,.580,.443,.023,.023,.092,.420,.342,.293,.333,.333,.583,.345,.731,1.000,.031,3,.127,.571,0,0
Scott Burrell,SF,26,GSW,29,457,.379,16.8,.564,.214,.086,.057,.214,.436,.392,.533,.333,.250,.333,.361,.613,.955,.014,2,.246,.467,1,0
Willie Burton,SF,28,ATL,24,380,.336,14.2,.603,.371,.103,.052,.078,.397,.371,.372,.333,.167,.556,.283,.577,1.000,.052,4,.130,.500,0,0
Mitchell Butler,SG,26,POR,49,465,.416,14.0,.688,.384,.120,.072,.112,.312,.465,.479,.333,.556,.500,.308,.650,1.000,.032,4,.179,.571,1,0
Jason Caffey,PF,23,CHI,75,1405,.532,7.9,.997,.577,.192,.174,.055,.003,.534,.617,.432,.418,.381,.000,.683,,.148,56,.000,,0,0
Michael Cage,C,35,PHI,82,1247,.468,10.0,1.000,.461,.135,.227,.177,.000,.468,.554,.474,.313,.440,,.667,,.078,11,,,0,0
Adrian Caldwell,PF,30,TOT,45,569,.435,7.9,.978,.598,.315,.033,.033,.022,.444,.545,.310,.000,.333,.000,.550,,.098,9,.000,,0,0
Adrian Caldwell,PF,30,NJN,18,204,.286,9.1,.943,.429,.429,.057,.029,.057,.303,.467,.200,.000,.000,.000,.500,,.086,3,.000,,0,0
Adrian Caldwell,PF,30,PHI,27,365,.526,7.1,1.000,.702,.246,.018,.035,.000,.526,.575,.429,.000,.500,,.567,,.105,6,,,0,0
Marcus Camby,C,22,TOR,63,1897,.482,9.0,.982,.492,.172,.210,.108,.018,.488,.640,.358,.307,.357,.143,.721,1.000,.183,127,.071,.000,1,0
Elden Campbell,PF,28,LAL,77,2516,.469,8.1,.996,.446,.338,.195,.017,.004,.470,.521,.434,.424,.375,.250,.644,1.000,.089,80,.250,.000,0,0
Antoine Carr,PF,35,UTA,82,1460,.483,11.0,.994,.238,.255,.228,.274,.006,.486,.540,.481,.395,.517,.000,.694,,.042,21,.000,,0,0
Chris Carr,SG,22,MIN,55,830,.461,13.8,.675,.258,.114,.214,.089,.325,.514,.629,.581,.466,.208,.352,.628,.935,.077,19,.261,.304,0,0
Jimmy Carruth,PF,27,MIL,4,21,.667,6.4,1.000,.333,.667,.000,.000,.000,.667,1.000,.500,,,,.500,,.000,0,,,0,0
Sam Cassell,PG,27,TOT,61,1714,.430,14.5,.705,.250,.102,.189,.163,.295,.464,.597,.275,.412,.438,.351,.293,.469,.001,1,.022,.400,1,0
Sam Cassell,PG,27,PHO,22,539,.415,13.0,.743,.324,.149,.178,.091,.257,.453,.628,.278,.326,.364,.306,.383,.368,.000,0,.048,.333,0,0
Sam Cassell,PG,27,DAL,16,398,.424,14.2,.703,.224,.127,.139,.212,.297,.474,.622,.286,.435,.457,.306,.309,.533,.006,1,.000,,0,0
Sam Cassell,PG,27,NJN,23,777,.443,15.6,.682,.215,.061,.218,.188,.318,.467,.556,.261,.451,.451,.392,.225,.489,.000,0,.017,.500,1,0
Duane Causwell,C,28,SAC,46,581,.511,9.1,.968,.426,.223,.277,.043,.032,.505,.625,.333,.423,.750,.667,.783,.000,.213,19,.333,1.000,1,0
Cedric Ceballos,SF,27,TOT,50,1426,.457,11.1,.835,.549,.071,.099,.115,.165,.497,.575,.364,.295,.380,.255,.715,.962,.063,37,.284,.172,2,0
Cedric Ceballos,SF,27,LAL,8,279,.410,12.0,.747,.518,.072,.060,.096,.253,.468,.488,.500,.400,.375,.238,.724,1.000,.096,8,.286,.500,0,0
Cedric Ceballos,SF,27,PHO,42,1147,.464,10.9,.848,.554,.071,.105,.118,.152,.501,.588,.342,.286,.381,.259,.714,.952,.058,29,.284,.087,2,0
Tom Chambers,PF,37,CHH,12,83,.226,12.2,.903,.581,.065,.129,.129,.097,.179,.167,.000,.250,.250,.667,.800,1.000,.000,0,.000,,0,0
Rex Chapman,SG,29,PHO,65,1833,.443,17.0,.581,.150,.072,.151,.208,.419,.510,.554,.556,.522,.455,.350,.694,.955,.011,6,.178,.482,0,0
Calbert Cheaney,SG,25,WSB,79,2411,.505,11.7,.959,.333,.126,.225,.275,.041,.521,.613,.543,.415,.488,.133,.723,1.000,.053,39,.167,.400,0,0
Pete Chilcutt,PF,28,VAN,54,662,.436,16.3,.582,.206,.085,.115,.176,.418,.490,.559,.571,.263,.517,.362,.638,.960,.012,2,.087,.500,0,0
Randolph Childress,PG,24,TOT,23,155,.350,16.9,.525,.200,.050,.175,.100,.475,.429,.500,.500,.286,.500,.263,.111,.600,.000,0,.053,1.000,1,0
Randolph Childress,PG,24,POR,19,125,.333,17.2,.467,.233,.067,.067,.100,.533,.500,.429,.500,.500,.667,.188,.000,.667,.000,0,.063,1.000,1,0
Randolph Childress,PG,24,DET,4,30,.400,16.2,.700,.100,.000,.500,.100,.300,.286,1.000,,.200,.000,.667,.500,.500,.000,0,.000,,0,0
Chris Childs,PG,29,NYK,65,2076,.414,16.5,.645,.275,.041,.110,.220,.355,.429,.457,.429,.250,.482,.387,.234,.671,.000,0,.083,.133,3,0
Doug Christie,SG,26,TOR,81,3127,.417,15.0,.596,.314,.085,.116,.081,.404,.440,.567,.296,.264,.351,.384,.410,.884,.064,57,.154,.322,0,0
Derrick Coleman,PF,29,PHI,57,2102,.435,11.2,.858,.347,.196,.219,.096,.142,.463,.552,.482,.344,.375,.269,.566,.844,.094,75,.084,.500,1,0
Bimbo Coles,PG,28,GSW,51,1183,.389,14.9,.675,.274,.115,.121,.166,.325,.434,.547,.361,.316,.385,.294,.467,.833,.003,1,.216,.364,2,0
Marty Conlon,C,29,BOS,74,1614,.471,11.7,.978,.540,.046,.123,.269,.022,.477,.412,.476,.482,.607,.200,.726,1.000,.000,0,.100,.000,0,0
Tyrone Corbin,SF,34,ATL,70,2305,.422,16.5,.653,.235,.037,.090,.292,.347,.457,.504,.455,.296,.469,.356,.816,1.000,.007,4,.087,.167,0,0
Joe Courtney,PF,27,TOT,9,100,.367,11.7,1.000,.233,.200,.200,.367,.000,.367,.714,.167,.000,.455,,.818,,.033,1,,,0,0
Joe Courtney,PF,27,PHI,4,52,.429,14.0,1.000,.214,.071,.214,.500,.000,.429,.667,.000,.000,.571,,.833,,.000,0,,,0,0
Joe Courtney,PF,27,SAS,5,48,.313,9.7,1.000,.250,.313,.188,.250,.000,.313,.750,.200,.000,.250,,.800,,.063,1,,,0,0
John Crotty,PG,27,MIA,48,659,.513,13.5,.682,.461,.052,.071,.097,.318,.562,.606,.125,.091,.933,.408,.441,.950,.000,0,.082,.250,1,0
Terry Cummings,PF,35,SEA,45,828,.486,11.0,.984,.285,.197,.288,.213,.016,.484,.549,.460,.424,.500,.600,.697,1.000,.016,4,.000,,0,0
Earl Cureton,PF,39,TOR,9,46,.375,8.2,1.000,.625,.250,.125,.000,.000,.375,.400,.500,.000,,,.667,,.000,0,,,0,0
Dell Curry,SG,32,CHH,68,2078,.459,15.9,.646,.291,.032,.093,.230,.354,.478,.391,.481,.410,.615,.426,.725,.865,.012,10,.142,.500,0,0
Michael Curry,SG,28,DET,81,1217,.448,14.8,.652,.299,.041,.095,.217,.348,.528,.803,.333,.095,.375,.299,.750,.957,.086,19,.195,.200,0,0
Erick Dampier,C,21,IND,72,1052,.390,8.1,.997,.438,.345,.185,.030,.003,.388,.449,.345,.355,.200,1.000,.600,1.000,.095,30,.000,,0,0
Lloyd Daniels,SG,29,TOT,22,310,.303,18.4,.412,.134,.092,.059,.126,.588,.306,.625,.000,.143,.267,.300,.533,.905,.008,1,.171,.250,0,0
Lloyd Daniels,SG,29,SAC,5,28,.125,20.4,.313,.000,.125,.000,.188,.688,.000,,.000,,.000,.182,,.500,.000,0,.273,.333,0,0
Lloyd Daniels,SG,29,NJN,17,282,.330,18.1,.427,.155,.087,.068,.117,.573,.341,.625,.000,.143,.333,.322,.533,.947,.010,1,.153,.222,0,0
Sasha Danilović,SG,26,TOT,56,1789,.435,16.2,.586,.219,.074,.102,.191,.414,.488,.584,.429,.379,.459,.360,.620,.941,.005,3,.131,.355,1,0
Sasha Danilović,SG,26,MIA,43,1351,.442,16.3,.556,.222,.081,.083,.169,.444,.509,.614,.406,.394,.478,.358,.607,.984,.005,2,.142,.280,1,0
Sasha Danilović,SG,26,DAL,13,438,.420,16.0,.655,.213,.057,.144,.241,.345,.447,.514,.500,.360,.429,.367,.647,.818,.006,1,.100,.667,0,0
Yinka Dare,C,24,NJN,41,313,.352,9.2,1.000,.611,.204,.185,.000,.000,.352,.394,.273,.300,,,.579,,.185,7,,,0,0
Antonio Davis,PF,28,IND,82,2335,.480,9.0,.978,.551,.162,.167,.100,.022,.490,.544,.433,.393,.453,.071,.769,1.000,.159,100,.143,.000,0,0
Ben Davis,PF,24,PHO,20,98,.385,9.0,1.000,.500,.308,.192,.000,.000,.385,.308,.500,.400,,,.500,,.000,0,,,0,0
Dale Davis,PF,27,IND,80,2589,.538,7.2,1.000,.533,.259,.189,.019,.000,.538,.624,.506,.338,.538,,.557,,.170,114,,,0,0
Emanual Davis,PG,28,HOU,13,230,.444,16.3,.500,.352,.037,.056,.056,.500,.444,.526,.000,.000,.667,.444,.500,1.000,.000,0,.259,.714,0,0
Hubert Davis,SG,26,TOR,36,623,.402,17.7,.620,.136,.060,.092,.332,.380,.509,.360,.455,.353,.623,.229,.707,.938,.000,0,.100,.286,0,0
Mark Davis,SF,23,PHI,75,1705,.469,10.6,.826,.585,.099,.086,.056,.174,.514,.565,.509,.304,.300,.258,.608,.917,.116,59,.118,.455,1,0
Todd Day,SG,27,BOS,81,2277,.398,14.8,.652,.404,.081,.099,.066,.348,.418,.369,.494,.545,.424,.362,.592,.905,.014,14,.236,.427,0,0
Andrew DeClercq,C,23,GSW,71,1065,.520,6.9,1.000,.626,.249,.092,.033,.000,.520,.608,.426,.240,.333,,.606,,.132,35,,,0,0
Terry Dehere,PG,25,LAC,73,1053,.386,16.9,.582,.243,.042,.084,.214,.418,.430,.581,.375,.281,.329,.325,.531,.692,.016,6,.050,.500,1,0
Vinny Del Negro,SG,30,SAS,72,2243,.467,15.4,.821,.123,.099,.251,.348,.179,.501,.510,.468,.413,.570,.314,.617,.750,.000,0,.071,.500,0,0
Bison Dele,C,27,CHI,9,138,.413,9.4,1.000,.365,.317,.238,.079,.000,.413,.391,.600,.333,.000,,.577,,.032,2,,,0,0
Tony Delk,PG,23,CHH,61,867,.465,16.1,.563,.336,.023,.074,.129,.438,.465,.442,.833,.421,.485,.464,.537,.673,.016,4,.045,.800,0,0
Dell Demps,SG,26,ORL,2,10,.000,14.6,.667,.333,.333,.000,.000,.333,.000,.000,.000,,,.000,,,.000,0,.000,,0,0
Vlade Divac*,C,28,CHH,81,2840,.494,9.6,.945,.622,.116,.077,.130,.055,.509,.526,.510,.369,.509,.234,.646,1.000,.068,58,.043,.000,3,0
Sherman Douglas,PG,30,MIL,79,2316,.502,11.8,.813,.451,.108,.115,.139,.187,.540,.636,.409,.371,.471,.333,.295,.763,.000,0,.044,.200,1,0
Greg Dreiling,C,34,DAL,40,389,.459,9.8,.986,.311,.243,.378,.054,.014,.452,.522,.500,.357,.500,1.000,.758,1.000,.081,4,.000,,0,0
Clyde Drexler*,SG,34,HOU,62,2271,.442,14.6,.627,.349,.059,.079,.140,.373,.493,.580,.396,.324,.413,.355,.482,.824,.031,28,.140,.447,1,0
Nate Driggers,SG,23,BOS,15,132,.302,12.1,.791,.581,.093,.093,.023,.209,.382,.400,.500,.250,.000,.000,.769,,.116,5,.444,.000,0,0
Kevin Duckworth,C,32,LAC,26,384,.437,10.5,.961,.272,.359,.194,.136,.039,.424,.393,.459,.300,.571,.750,.500,.667,.049,5,.000,,1,0
Chris Dudley,C,31,POR,81,1840,.430,7.5,1.000,.386,.498,.089,.027,.000,.430,.540,.370,.385,.125,,.421,,.109,28,,,0,0
Joe Dumars*,SG,33,DET,79,2923,.440,17.4,.561,.091,.096,.232,.142,.439,.446,.350,.417,.448,.524,.432,.247,.843,.000,0,.138,.396,0,0
Tony Dumas,SG,24,TOT,24,278,.344,14.3,.708,.302,.073,.115,.219,.292,.426,.483,.429,.455,.333,.143,.448,1.000,.031,3,.071,.000,0,0
Tony Dumas,SG,24,DAL,18,227,.351,14.2,.688,.299,.078,.117,.195,.312,.453,.478,.333,.556,.400,.125,.417,1.000,.026,2,.083,.000,0,0
Tony Dumas,SG,24,PHO,6,51,.316,14.6,.789,.316,.053,.105,.316,.211,.333,.500,1.000,.000,.167,.250,.600,1.000,.053,1,.000,,0,0
