User,Feedback,Stats
juulfs,,AST-BLK-FGA-PTS-STL
João,,BLK-PTS-STL-TRB-3P%
brunoxavier,,AST-BLK-FT%-STL-3P%
xandinho,,BLK
DiegoRamos,,3P%-FTM-PTS-STL-TRB
NBA pro guesser,,BLK%-2PA-2P%-3PA-3P%
Rodolfo,,AST-FGA-FTM-PTS-STL-TRB
Iannis,,AST-TRB-3P%
Masto,,BLK-DRB-FGM-MP-TRB
mateus,,AST-BLK-FT%-ORB-PTS
Gabriel Almeida,,AST-FGA-FT%-2P%-3PA
Harrison,,AST-DRB-FT%-MP-3P%
Fao,"Excelente exercício. Transforme em um jogo!",AST-FGA-FTA-FT%
BGH05,"O acerto/erro deveria ser mostrado logo que marcada a opção, sem aguardar o resultado final, de forma que possamos entender onde erramos.",AST-BLK-FT%-TRB-3P%
leomol2,,AST-BLK-PTS-3P%
Karlo_76,,AST-BLK-FGA-FT%-TRB
BGH05,,AST-BLK-FT%-TRB-3P%
leomol,,PTS-TRB-2P%-3PA-3P%
arthp14,,AST-BLK-STL-TRB
raphasanti,,AST-BLK-DRB-3P%
Samis,,BLK-DRB-FT%-PTS
Fao,"Excelente exercício. Transforme em um jogo!",AST-FGA-FTA-FT%
BGH05,"O acerto/erro deveria ser mostrado logo que marcada a opção, sem aguardar o resultado final, de forma que possamos entender onde erramos. Outra coisa, a tela final, que mostra acerto/erro, pode rolar pro lado. Chino estou no celular, só agora vi isso e por isso só agora vi que além do nome e posição, tem tb a temporada de referência. Se fizer um app responsivo, o resultado se ajusta sozinho pra aparecer sem precisar rolar.",AST-BLK-FT%-TRB-3P%
leomol2,,AST-BLK-PTS-3P%
Karlo_76,,AST-BLK-FGA-FT%-TRB
Gabriel Almeida,,AST-FGA-FT%-2P%-3PA
raphasanti,,AST-BLK-DRB-3P%
Fao,,AST-FGA-FT%
Bagre,,eFG%-MP-PER-PTS-2P%
Rafa9martins,,AST-DRB-ORB-TOV-3PM
Pedro,,AST-PTS-STL-TRB
Fabio61,,AST-BLK-PTS-STL-3PA
otaviooasl,,AST-PF-STL-TRB-3PA
Lucas Perez,,BLK%-FTr-3P%-TRB
filipe,"Um dos jogadores dessa lista tinha 7.75 faltas pessoais por jogo, o que é impossível",AST-FTr-PTS-TRB
otaviooasl,,AST-PF-STL-TRB-3PA